locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,6820 Centennial Blvd,Colorado Springs,CO,80919,ATMWC000016,<MISSING>,38.928771,-104.864701,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,280 Main St,Colorado Springs,CO,80911,ATMWG004709,<MISSING>,38.752532,-104.743028,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,6075 Barnes Rd,Colorado Springs,CO,80922,ATMWG007142,<MISSING>,38.893668,-104.714919,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,6011 Rangewood Dr,Colorado Springs,CO,80918,ATMWG005621,<MISSING>,38.920959,-104.739246,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,7390 Rangewood Dr,Colorado Springs,CO,80918,ATMWG009768,<MISSING>,38.937456,-104.757495,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Cvs,7353 Rangewood Dr,Colorado Springs,CO,80918,ATMVC511024,<MISSING>,38.937179,-104.755869,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Woodmen,3605 Hartsel Dr,Colorado Springs,CO,80920,ATMKB1932,<MISSING>,38.938845,-104.758619,24 Hour Access,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Woodmen,3605 Hartsel Dr,Colorado Springs,CO,80920,BRCH06180621,719-272-8400,38.938845,-104.758597,9:00am - 5:00pm Mon - Thu 9:00am - 6:00pm Fri,USA,branch
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,7055 Alegre Cir,Fountain,CO,80817,ATMKR002556,<MISSING>,38.729446,-104.724907,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,8705 Lexington Dr,Colorado Springs,CO,80920,ATMWG005262,<MISSING>,38.957511,-104.768672,12:00am - 12:00am Sun-Sat,USA,ATM
